2,History,hard,Der Pianist Frédéric Chopin war ein Komponist aus welcher musikalischen Epoche?,Romantisch,Klassisch,Barock,Renaissance,2022-09-03 11:43:30.0,2022-09-03 11:43:30.0
3,History,hard,Der Pianist Frédéric Chopin war ein Komponist aus welcher musikalischen Epoche?,Romantisch,Klassisch,Barock,Renaissance,2022-09-03 11:43:31.0,2022-09-03 11:43:31.0
4,General Knowledge,easy,Was ist das erste Buch des Alten Testaments?,Genesis,Exodus,Levitikus,Zahlen,2022-09-03 11:43:31.0,2022-09-03 11:43:31.0
5,Entertainment: Music,easy,Wer ist der Leadsänger von Pearl Jam?,Eddie Vedder,Ozzy Osbourne,Stein Gossard,Kurt Cobain,2022-09-03 11:43:31.0,2022-09-03 11:43:31.0
6,Entertainment: Music,easy,"Welche Rap-Gruppe veröffentlichte das Album ""Straight Outta Compton""?",N.W.A.,Wu-Tang Clan,Run-D.M.C.,Beastie Boys,2022-09-03 11:43:32.0,2022-09-03 11:43:32.0
7,Geography,hard,Welches dieser Länder ist NICHT Teil des asiatischen Kontinents?,Surinam,Georgia,Russland,Singapur,2022-09-03 11:43:32.0,2022-09-03 11:43:32.0
8,Politics,medium,Welcher Präsident hat die Staatsschulden der Vereinigten Staaten gestrichen?,Andrew Jackson,Ronald Reagan,John F. Kennedy,Franklin Roosevelt,2022-09-03 11:43:33.0,2022-09-03 11:43:33.0
9,Entertainment: Television,easy,Wer ist der Star der AMC-Serie Breaking Bad?,Walter White,Saul Goodman,Jesse Pinkman,Skyler Weiß,2022-09-03 11:43:33.0,2022-09-03 11:43:33.0
10,Science & Nature,medium,Was war das erste Lebewesen im Weltraum?,Fruchtfliegen,Affe,Hund,Maus,2022-09-03 11:43:33.0,2022-09-03 11:43:33.0
11,Geography,medium,Was ist die Hauptstadt von Chile?,Santiago,Valparaíso,Copiapó,Antofagasta,2022-09-03 11:43:34.0,2022-09-03 11:43:34.0
